Guid_interface	Guid_class	class_name	implement_interfaces	members
B91F59A3-44EC-44E7-AFA4-D79C6B5FC960	AC21006A-1797-406E-B017-7D73D9C65C39	NCDK.Fingerprints.BitSetFingerprint	IBitFingerprint	bool this[int index] { get; set; } long Count { get; } int Cardinality { get; } void And(IBitFingerprint fingerprint); void Or(IBitFingerprint fingerprint);  
B7552D7E-F1E3-4226-B20C-E379637F17EA	F754F9D2-8868-4C71-BFC7-983098355C99	NCDK.Fingerprints.CircularFingerprinter	IFingerprinter	"IBitFingerprint GetBitFingerprint(IAtomContainer container); int Count { get; } IDictionary<string, int> GetRawFingerprint(IAtomContainer atomContainer);"
D8FD0773-4B98-4FCF-915A-758048BC8FB6	E109EC36-9DDA-42B2-ABA3-4DA6999519C3	NCDK.Fingerprints.EStateFingerprinter	IFingerprinter	"IBitFingerprint GetBitFingerprint(IAtomContainer container); int Count { get; } IDictionary<string, int> GetRawFingerprint(IAtomContainer atomContainer);"
C99F726F-13E6-4895-A40D-369DA5E8F598	192B2309-AA94-49CF-A2D5-296C18BB94E4	NCDK.Fingerprints.ExtendedFingerprinter	IFingerprinter	"IBitFingerprint GetBitFingerprint(IAtomContainer container); int Count { get; } IDictionary<string, int> GetRawFingerprint(IAtomContainer atomContainer);"
1CE912BE-7D39-4C6F-895E-45BA1DCE9A9E	33AFCCA5-86BF-4BB8-95D2-F68B54648CC2	NCDK.Fingerprints.GraphOnlyFingerprinter	IFingerprinter	"IBitFingerprint GetBitFingerprint(IAtomContainer container); int Count { get; } IDictionary<string, int> GetRawFingerprint(IAtomContainer atomContainer);"
70D1DB1F-9F58-42BE-AF95-A2BDD8A148D9	CCEB9C66-E442-4177-86A3-0672802F8926	NCDK.Fingerprints.HybridizationFingerprinter	IFingerprinter	"IBitFingerprint GetBitFingerprint(IAtomContainer container); int Count { get; } IDictionary<string, int> GetRawFingerprint(IAtomContainer atomContainer);"
0A09F24F-5E55-4970-AB78-857CAE0993D2		NCDK.Fingerprints.IBitFingerprint		bool this[int index] { get; set; } long Count { get; } int Cardinality { get; } void And(IBitFingerprint fingerprint); void Or(IBitFingerprint fingerprint);  
8408E871-27AD-4EEE-8AE8-0F4F60B5709F		NCDK.Fingerprints.IFingerprinter		"IBitFingerprint GetBitFingerprint(IAtomContainer container); int Count { get; } IDictionary<string, int> GetRawFingerprint(IAtomContainer atomContainer);"
A51681B6-C94A-4CF5-805A-A03FD9DCB14A	FF43AADE-239E-4088-AA86-25C6EEFED330	NCDK.Fingerprints.IntArrayFingerprint	IBitFingerprint	bool this[int index] { get; set; } long Count { get; } int Cardinality { get; } void And(IBitFingerprint fingerprint); void Or(IBitFingerprint fingerprint);  
DB6B34CA-5B84-4AA9-86AF-96D2CEEF4010	4085774B-E8A7-48FF-83B8-9C39ACC1F2F7	NCDK.Fingerprints.KlekotaRothFingerprinter	IFingerprinter	"IBitFingerprint GetBitFingerprint(IAtomContainer container); int Count { get; } IDictionary<string, int> GetRawFingerprint(IAtomContainer atomContainer);"
59C47EE7-8849-4275-A45F-5B1A20BE0C30	EF8E295B-81C6-446C-AC89-8CAEB53C199E	NCDK.Fingerprints.LingoFingerprinter	IFingerprinter	"IBitFingerprint GetBitFingerprint(IAtomContainer container); int Count { get; } IDictionary<string, int> GetRawFingerprint(IAtomContainer atomContainer);"
5CAC1821-5333-461D-A318-5E4439CD44BE	41A9917B-6109-48F3-B5B5-251AEE5AFA81	NCDK.Fingerprints.MACCSFingerprinter	IFingerprinter	"IBitFingerprint GetBitFingerprint(IAtomContainer container); int Count { get; } IDictionary<string, int> GetRawFingerprint(IAtomContainer atomContainer);"
5F88641A-6FC7-4079-B215-03863533CCF5	D6E12A59-B707-4E93-AEF6-9D5A605D0601	NCDK.Fingerprints.PubchemFingerprinter	IFingerprinter	"IBitFingerprint GetBitFingerprint(IAtomContainer container); int Count { get; } IDictionary<string, int> GetRawFingerprint(IAtomContainer atomContainer);"
94480768-9696-4F43-A25B-C1737760403D	34534AE8-13C1-40A2-BB4D-B3350F0485D9	NCDK.Fingerprints.ShortestPathFingerprinter	IFingerprinter	"IBitFingerprint GetBitFingerprint(IAtomContainer container); int Count { get; } IDictionary<string, int> GetRawFingerprint(IAtomContainer atomContainer);"
5BC0FF04-0521-467B-A8E4-195E07BA723B	3AE60D45-046A-4A40-A240-F74057F41CAB	NCDK.Fingerprints.SignatureFingerprinter	IFingerprinter	"IBitFingerprint GetBitFingerprint(IAtomContainer container); int Count { get; } IDictionary<string, int> GetRawFingerprint(IAtomContainer atomContainer);"
1357EE46-EC07-47EA-ACFD-D77156CF5493	CF5F546F-F800-4AE9-BD92-0194A6839D0B	NCDK.Fingerprints.SubstructureFingerprinter	IFingerprinter	"IBitFingerprint GetBitFingerprint(IAtomContainer container); int Count { get; } IDictionary<string, int> GetRawFingerprint(IAtomContainer atomContainer);"
7930EF62-EED8-43B8-B984-D91A87A6D77D		NCDK.IAtomContainer	IChemObject	"IDictionary<object, object> GetProperties();""
4DB67F68-082F-49A1-9BCE-8A0FF7848E8A		NCDK.IChemObject		"IDictionary<object, object> GetProperties();""
136161B3-6FC6-42B9-BAA8-DA181C5BD927		NCDK.IChemObjectBuilder		
821CF389-3EFC-44BF-9157-7A4ED1ADA6F1	6B6441F5-3131-4E69-BEE3-B94C809CC163	NCDK.QSAR.Descriptors.Moleculars.AcidicGroupCountDescriptor	IMolecularDescriptor	DescriptorValue Calculate(IAtomContainer atomContainer);
49BEF8FE-0978-4A10-BEC9-5AB90C9FD0B5	49E49CF1-52FC-4C01-9884-AC518C5F7147	NCDK.QSAR.Descriptors.Moleculars.ALOGPDescriptor	IMolecularDescriptor	DescriptorValue Calculate(IAtomContainer atomContainer);
12634381-787F-4FD2-BB21-CBED1BF80A92	AC1CF35F-8A96-4D7F-B1C8-519AC52457FB	NCDK.QSAR.Descriptors.Moleculars.APolDescriptor	IMolecularDescriptor	DescriptorValue Calculate(IAtomContainer atomContainer);
7AB2A629-EE5A-4439-951C-AA336EDCB0DE	9652026F-4AA6-4720-9A93-E78ACFE0175B	NCDK.QSAR.Descriptors.Moleculars.AromaticAtomsCountDescriptor	IMolecularDescriptor	DescriptorValue Calculate(IAtomContainer atomContainer);
FCEA971F-4AE8-44E5-B81E-BB16E0A5927E	FC6B0455-E099-4C06-A9E9-F262EF8B0879	NCDK.QSAR.Descriptors.Moleculars.AromaticBondsCountDescriptor	IMolecularDescriptor	DescriptorValue Calculate(IAtomContainer atomContainer);
6DFFCF12-F9AB-46A1-AAAA-741FED1F63B6	2B07DB2A-38DF-4C72-BB29-21D8465CC970	NCDK.QSAR.Descriptors.Moleculars.AtomCountDescriptor	IMolecularDescriptor	DescriptorValue Calculate(IAtomContainer atomContainer);
33F3637C-02D6-492C-8963-D4EDC69169A7	E5A4B43D-B12B-4609-A8B5-41DAA37A4E1C	NCDK.QSAR.Descriptors.Moleculars.AutocorrelationDescriptorCharge	IMolecularDescriptor	DescriptorValue Calculate(IAtomContainer atomContainer);
492C8B59-EF61-4BD6-BEF7-C08603628C5D	6EF41B8E-5D74-4D0E-A989-2CA8406353FA	NCDK.QSAR.Descriptors.Moleculars.AutocorrelationDescriptorMass	IMolecularDescriptor	DescriptorValue Calculate(IAtomContainer atomContainer);
091327C5-4394-4839-942B-3A5499673794	86DCE91F-2446-4166-8870-CB4654D77505	NCDK.QSAR.Descriptors.Moleculars.AutocorrelationDescriptorPolarizability	IMolecularDescriptor	DescriptorValue Calculate(IAtomContainer atomContainer);
8DB695B3-6830-4B16-A494-F2E5950F5192	9273CE85-B671-48A0-8B80-D6125708912C	NCDK.QSAR.Descriptors.Moleculars.BasicGroupCountDescriptor	IMolecularDescriptor	DescriptorValue Calculate(IAtomContainer atomContainer);
AC87E58E-98D9-43BC-8D9A-4BCFCDFC7484	E8380587-3754-4898-9655-57DCA479BCBB	NCDK.QSAR.Descriptors.Moleculars.BCUTDescriptor	IMolecularDescriptor	DescriptorValue Calculate(IAtomContainer atomContainer);
BD33E72C-69A7-41EA-B6B0-CD118DE6F65F	04C9A6D4-FF6D-4F22-AE0E-442009ABCB13	NCDK.QSAR.Descriptors.Moleculars.BondCountDescriptor	IMolecularDescriptor	DescriptorValue Calculate(IAtomContainer atomContainer);
9F79EDB6-2F31-49B1-BE16-C871FB485D10	BE165ECB-619B-4B99-91A0-AC511E251F3F	NCDK.QSAR.Descriptors.Moleculars.BPolDescriptor	IMolecularDescriptor	DescriptorValue Calculate(IAtomContainer atomContainer);
5390A8E0-7406-4D50-859B-62F1BEC6411D	C915B2B6-92BD-400E-9C35-E398DDFCCE77	NCDK.QSAR.Descriptors.Moleculars.CarbonTypesDescriptor	IMolecularDescriptor	DescriptorValue Calculate(IAtomContainer atomContainer);
4C3128A4-3552-45D6-98F1-931C382B3038	70FD43F0-1553-4112-B050-DE923286F6C8	NCDK.QSAR.Descriptors.Moleculars.ChiChainDescriptor	IMolecularDescriptor	DescriptorValue Calculate(IAtomContainer atomContainer);
0EA0A718-6763-4C02-90C2-F6282C1AC7AE	2C2414FB-94E7-4CE7-90AB-604871E2E837	NCDK.QSAR.Descriptors.Moleculars.ChiClusterDescriptor	IMolecularDescriptor	DescriptorValue Calculate(IAtomContainer atomContainer);
9911A60C-0ACF-41ED-95A0-2ED846E14313	C1B2123B-40BF-4F33-B2FA-8632B3209A99	NCDK.QSAR.Descriptors.Moleculars.ChiPathClusterDescriptor	IMolecularDescriptor	DescriptorValue Calculate(IAtomContainer atomContainer);
4524047F-BE73-4E3F-AB45-46F8C18874CD	65C1831C-7757-424B-A3D1-8C7B38DC1D98	NCDK.QSAR.Descriptors.Moleculars.ChiPathDescriptor	IMolecularDescriptor	DescriptorValue Calculate(IAtomContainer atomContainer);
92696DAA-9E7A-4521-8771-515F32D14553	4E30FAE8-D98A-47C6-B9B0-B8E0E9D468A1	NCDK.QSAR.Descriptors.Moleculars.CPSADescriptor	IMolecularDescriptor	DescriptorValue Calculate(IAtomContainer atomContainer);
AEE5E5B6-0515-4F6D-A053-40E300C518BC	DB4E6375-4289-4C11-AC6D-7E63F971565F	NCDK.QSAR.Descriptors.Moleculars.EccentricConnectivityIndexDescriptor	IMolecularDescriptor	DescriptorValue Calculate(IAtomContainer atomContainer);
E48A6380-4B81-4179-818A-D5C493DD00DB	126CD5CB-545F-4499-AADC-17104894B7C0	NCDK.QSAR.Descriptors.Moleculars.FMFDescriptor	IMolecularDescriptor	DescriptorValue Calculate(IAtomContainer atomContainer);
23C2FE91-94A6-45F7-B035-C4B68D2B8B75	B1300125-9DCA-49CF-B506-5A7374F6C138	NCDK.QSAR.Descriptors.Moleculars.FractionalPSADescriptor	IMolecularDescriptor	DescriptorValue Calculate(IAtomContainer atomContainer);
43FE36CE-A225-4C45-8AD0-A83E6B7CD27D	0A455290-2FB3-4D03-9730-F786788DEF18	NCDK.QSAR.Descriptors.Moleculars.FragmentComplexityDescriptor	IMolecularDescriptor	DescriptorValue Calculate(IAtomContainer atomContainer);
ECAC5A33-DC1F-4088-8183-CC94729F0C1E	6DEDF9F5-021A-44AD-BA61-F4900207EB76	NCDK.QSAR.Descriptors.Moleculars.GravitationalIndexDescriptor	IMolecularDescriptor	DescriptorValue Calculate(IAtomContainer atomContainer);
2BA1F3C5-6475-48B7-BEF2-B7DE728B115D	855ECCC0-9FAF-41D7-8A42-94CBEE7B610A	NCDK.QSAR.Descriptors.Moleculars.HBondAcceptorCountDescriptor	IMolecularDescriptor	DescriptorValue Calculate(IAtomContainer atomContainer);
